noteId,Topic,Topic_Keywords
1751661246330310775,-1,-1_amp_deutschland_afd_handeln
1751718824334758186,-1,-1_amp_deutschland_afd_handeln
1752852406835073046,-1,-1_amp_deutschland_afd_handeln
1752870402282389906,-1,-1_amp_deutschland_afd_handeln
1753087655900745998,-1,-1_amp_deutschland_afd_handeln
1753465090551021932,9,9_frau_khelif_biologisch_gender
1754186182441758870,-1,-1_amp_deutschland_afd_handeln
1754435761183621255,11,11_auto_tesla_verbrenner_fahrzeug
1754941184709988622,1,1_israel_hamas_gaza_israelisch
1754972336917303758,-1,-1_amp_deutschland_afd_handeln
1754973151820222790,-1,-1_amp_deutschland_afd_handeln
1755250116221419546,0,0_post_kommentar_anmerkung_meinung
1755270291394073040,11,11_auto_tesla_verbrenner_fahrzeug
1755361746338955562,-1,-1_amp_deutschland_afd_handeln
1756282465188987376,4,4_politisch_polizei_politiker_politik
